Tokenizer name,model_name,eng_Latn,zho_Hans,tur_Latn,pes_Arab,ita_Latn
common-pile-comma-v0.1,Comma,0.343,0.584,0.775,0.899,0.593
meta-llama-Llama-3.2-1B,Llama-3.2,0.205,0.355,0.719,0.585,0.545
microsoft-Phi-3-mini-4k-instruct,Phi-3,0.156,0.969,0.757,0.932,0.42
gpt2,GPT-2,0.232,0.818,0.761,0.897,0.572
tiktoken-gpt-4o,GPT-4o,0.2,0.323,0.708,0.573,0.515
bigscience-bloom,BLOOM,0.249,0.127,0.719,0.577,0.505
facebook-xglm-564m,XGLM,0.206,0.869,0.524,0.285,0.319
mistralai-tekken,Tekken,0.266,0.408,0.726,0.58,0.534
google-byt5-small,ByT5,0.866,0.984,0.87,0.946,0.845
google-bert-bert-base-multilingual-cased,mBERT,0.104,0.55,0.517,0.308,0.232
Qwen-Qwen3-8B,Qwen-3,0.211,0.156,0.737,0.668,0.55
tokenmonster-englishcode-32000-consistent-v1,TokenMonster,0.563,0.966,0.803,0.935,0.632
google-gemma-2-2b,Gemma-2,0.108,0.21,0.69,0.529,0.41
aya-expanse,Aya,0.15,0.179,0.681,0.533,0.468
